,X,Y,theta,radius,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
10,146.518,60.445,4.528832543014995,101.25602376649006,-99.555,-18.482,98.545,138.855,0.16355428374078015,10,fish7p2_10
42,134.397,85.885,4.320801050051859,80.18464213301696,-74.115,-30.60300000000001,103.897,167.795,0.16176636989582543,42,fish7p2_42
21,155.045,68.955,4.6034800934957945,91.5876304421072,-91.045,-9.955000000000013,97.394,134.424,0.158912585428616,21,fish7p2_21
116,65.048,228.919,2.53793427204888,121.40935246100278,68.91900000000001,-99.952,94.194,118.903,0.15144459845794003,116,fish7p2_116
35,145.346,80.09,4.471224100367093,82.29148082274374,-79.91,-19.653999999999996,98.205,142.231,0.15037064289124946,35,fish7p2_35
120,60.722,243.463,2.46661435165263,133.56636422767522,83.463,-104.27799999999999,91.556,104.481,0.14676238990338325,120,fish7p2_120
118,51.342,236.342,2.5501261273250795,136.91691614990458,76.34200000000001,-113.658,92.421,109.789,0.1456845572844189,118,fish7p2_118
23,182.202,69.351,4.899924025342529,92.26673292687892,-90.649,17.201999999999998,92.681,113.787,0.13397942869149282,23,fish7p2_23
119,78.554,238.365,2.405187175160931,116.67897900221789,78.36500000000001,-86.446,93.0,117.351,0.1282387572498617,119,fish7p2_119
17,191.457,63.674,4.980440041956196,99.89329869916199,-96.326,26.456999999999994,92.609,114.87,0.12735838567130797,17,fish7p2_17
15,186.107,63.25,4.927183751259291,99.0255923940877,-96.75,21.107,93.429,123.5,0.1182242613125857,15,fish7p2_15
13,180.722,62.333,4.871995306402111,98.92433559544385,-97.667,15.722000000000008,94.194,129.667,0.1172706995153204,13,fish7p2_13
3,160.1,47.043,4.669036820600779,113.06322942937726,-112.957,-4.900000000000006,92.343,117.343,0.11102970185425264,3,fish7p2_3
12,175.611,59.981,4.818083474042284,100.58028475799819,-100.019,10.61099999999999,93.481,127.333,0.10913139813843882,12,fish7p2_12
4,174.194,48.472,4.794639694301145,111.90631983940852,-111.52799999999999,9.193999999999988,92.722,121.194,0.10874899086635112,4,fish7p2_4
11,165.776,60.155,4.720160870573296,99.84801550857183,-99.845,0.7760000000000105,93.448,130.517,0.10125270988842987,11,fish7p2_11
8,188.705,57.731,4.940157404291458,104.98035714361045,-102.269,23.705000000000013,92.795,128.179,0.09331657564871162,8,fish7p2_8
6,165.196,54.283,4.714242984711596,105.71718169247607,-105.717,0.19599999999999795,92.13,121.826,0.09288740362602957,6,fish7p2_6
0,186.657,23.559,4.8698036970469465,138.14909384429563,-136.441,21.65700000000001,92.98,131.765,0.08992547272465991,0,fish7p2_0
25,195.581,68.797,5.035914739202111,96.19347571431236,-91.203,30.58099999999999,92.514,128.514,0.08690709334185974,25,fish7p2_25
24,189.286,69.214,4.9737768770036,93.9782293512705,-90.786,24.286,91.095,115.048,0.0823609025038376,24,fish7p2_24
123,195.0,54.0,4.9881948789732125,110.16351483136329,-106.0,30.0,89.5,97.194,0.08178844056706698,123,fish7p2_123
27,203.1,71.675,5.119635470026887,96.19207672672422,-88.325,38.099999999999994,91.025,115.75,0.07839650852663091,27,fish7p2_27
2,194.81,46.052,4.968265025561387,117.78277804500964,-113.94800000000001,29.810000000000002,90.31,110.759,0.06759427622737005,2,fish7p2_2
1,185.242,33.887,4.871538399083251,127.72715973120204,-126.113,20.24199999999999,89.903,109.613,0.05478081368217084,1,fish7p2_1
28,220.464,71.7,5.273236899265723,104.2743750688538,-88.3,55.464,89.709,108.564,0.04915322598517021,28,fish7p2_28
9,203.915,58.028,5.076954629543549,109.1451602637515,-101.97200000000001,38.91499999999999,90.17,118.962,0.04704119850187286,9,fish7p2_9
